Release Date,Title,Rating 
"October,2014",Left Behind,2
"April ,2014",Joe,86
"August ,2013",The Frozen Ground,59
"March ,2013",The Croods,70
"September ,2012",Stolen,16
"March ,2012",Seeking Justice,27
"February ,2012",Ghost Rider: Spirit of Vengeance,18
"October ,2011",Trespass,10
"February ,2011",Drive Angry,45
"January,2011",Season of the Witch,10
"July ,2010",The Sorcerer's Apprentice,41
"April ,2010",Kick-Ass,76
"November ,2009",Bad Lieutenant: Port of Call New Orleans,87
"July ,2009",G-Force,22
"March ,2009",Knowing,33
"September,2008",Bangkok Dangerous,9
"December ,2007",National Treasure: The Book of Secrets,35
"April ,2007",Next,28
"April,2007",Grindhouse,83
"February ,2007",Ghost Rider,26
"September,2006",The Wicker Man,15
"August,2006",World Trade Center,68
"July ,2006",The Ant Bully,63
"October ,2005",The Weather Man,58
"September ,2005",Lord of War,61
"November ,2004",National Treasure,44
"September ,2003",Matchstick Men,82
"December ,2002",Sonny,23
"December,2002",Adaptation,91
"June ,2002",Windtalkers,32
"August ,2001",Captain Corelli's Mandolin,29
"December ,2000",The Family Man,53
"June,2000",Gone in 60 Seconds,24
"October ,1999",Bringing Out The Dead,71
"February ,1999",8MM,22
"August,1998",Snake Eyes,40
"April ,1998",City of Angels,58
"June ,1997",Face/Off,91
"June,1997",Con Air,55
"June,1996",The Rock,66
"October ,1995",Leaving Las Vegas,89
"April ,1995",Kiss of Death,68
"December,1994",Trapped in Paradise,10
"July ,1994",It Could Happen To You,71
"March ,1994",Guarding Tess,59
"July,1993",Deadfall,1
"March,1993",Amos & Andrew,21
"January,1993",Red Rock West,95
"August ,1992",Honeymoon in Vegas,62
"May,1991",Zandalee ,33
"August ,1990",Wild at Heart,64
"May ,1990",Fire Birds,10
"June,1989",Vampire's Kiss,62
"December ,1987",Moonstruck,92
"March ,1987",Raising Arizona,90
"October ,1986",Peggy Sue Got Married,85
"January ,1986",The Boy in Blue,1
"December ,1984",Birdy,88
"December,1984",The Cotton Club,75
"March ,1984",Racing with the Moon,60
"October,1983",Rumble Fish,71
"April ,1983",Valley Girl,83
"August ,1982",Fast Times at Ridgemont High,79
